,Unnamed: 0,Id,Dormitorios,n_plantas,Trastero,Reformado,Aparcamiento,area,Precio
0,0,vivienda_1,4,2.0,Sí,No,No,189,308000
1,1,vivienda_2,4,2.0,Sí,Sí,No,189,312000
2,2,vivienda_3,2,1.0,No,No,Sí,77,148000
3,3,vivienda_4,2,,No,No,No,89,315000
4,4,vivienda_5,4,2.0,Sí,Sí,No,124,342000
5,5,vivienda_6,4,2.0,Sí,No,Sí,138,348000
6,6,vivienda_7,2,1.0,No,Sí,Sí,84,149000
7,7,vivienda_8,2,3.0,Sí,Sí,No,237,297000
8,8,vivienda_9,1,2.0,No,Sí,No,129,187000
9,9,vivienda_10,2,2.0,No,No,Sí,151,250000
10,10,vivienda_11,3,2.0,Sí,Sí,No,125,279000
11,11,vivienda_12,1,,Sí,Sí,Sí,73,277000
12,12,vivienda_13,3,3.0,No,Sí,Sí,200,362000
13,13,vivienda_14,4,3.0,Sí,No,Sí,238,393000
14,14,vivienda_15,4,1.0,Sí,Sí,Sí,69,274000
15,15,vivienda_16,4,1.0,Sí,Sí,Sí,68,274000
16,16,vivienda_17,2,2.0,Sí,Sí,Sí,138,259000
17,17,vivienda_18,1,2.0,Sí,Sí,No,129,189000
18,18,vivienda_19,2,2.0,Sí,No,No,120,215000
19,19,vivienda_20,3,3.0,No,No,No,225,345000
20,20,vivienda_21,2,3.0,No,No,No,220,285000
21,21,vivienda_22,2,2.0,No,Sí,Sí,134,224000
22,22,vivienda_23,3,2.0,No,No,Sí,125,280000
23,23,vivienda_24,4,3.0,No,No,No,259,408000
24,24,vivienda_25,4,2.0,Sí,Sí,Sí,179,319000
25,25,vivienda_26,1,2.0,Sí,Sí,No,134,192000
26,26,vivienda_27,2,2.0,Sí,No,No,146,248000
27,27,vivienda_28,3,1.0,Sí,Sí,Sí,61,217000
28,28,vivienda_29,4,1.0,Sí,No,No,139,230000
29,29,vivienda_30,3,3.0,No,No,Sí,211,358000
30,30,vivienda_31,1,3.0,No,Sí,Sí,228,269000
31,31,vivienda_32,4,2.0,Sí,Sí,No,126,342000
32,32,vivienda_33,4,3.0,Sí,No,No,246,410000
33,33,vivienda_34,4,1.0,Sí,Sí,No,133,234000
34,34,vivienda_35,2,2.0,No,Sí,No,125,217000
35,35,vivienda_36,2,3.0,No,No,Sí,220,328000
36,36,vivienda_37,3,2.0,Sí,No,No,121,275000
37,37,vivienda_38,2,3.0,No,Sí,Sí,225,302000
38,38,vivienda_39,3,2.0,Sí,No,Sí,134,288000
39,39,vivienda_40,2,1.0,No,No,Sí,87,148000
40,40,vivienda_41,2,1.0,Sí,No,Sí,104,180000
41,41,vivienda_42,4,1.0,Sí,Sí,No,73,264000
42,42,vivienda_43,3,2.0,Sí,No,Sí,131,285000
43,43,vivienda_44,4,,Sí,Sí,Sí,129,247000
44,44,vivienda_45,4,3.0,Sí,No,No,258,410000
45,45,vivienda_46,4,3.0,No,No,Sí,246,418000
46,46,vivienda_47,4,2.0,Sí,No,No,134,335000
47,47,vivienda_48,4,1.0,No,Sí,No,68,262000
48,48,vivienda_49,2,2.0,No,Sí,No,129,214000
49,49,vivienda_50,1,1.0,No,Sí,Sí,61,122000
50,50,vivienda_51,2,3.0,No,No,Sí,231,328000
51,51,vivienda_52,2,,Sí,No,Sí,81,150000
52,52,vivienda_53,4,,No,No,Sí,191,310000
53,53,vivienda_54,2,3.0,No,Sí,Sí,235,332000
54,54,vivienda_55,3,3.0,No,Sí,No,201,349000
55,55,vivienda_56,1,2.0,Sí,No,Sí,135,195000
56,56,vivienda_57,4,1.0,Sí,Sí,Sí,132,244000
57,57,vivienda_58,2,2.0,Sí,No,No,150,248000
58,58,vivienda_59,1,2.0,No,No,Sí,130,190000
59,59,vivienda_60,3,1.0,Sí,Sí,No,63,207000
60,60,vivienda_61,2,2.0,No,Sí,No,121,214000
61,61,vivienda_62,1,2.0,No,No,No,127,180000
62,62,vivienda_63,2,2.0,Sí,Sí,Sí,134,229000
63,63,vivienda_64,4,1.0,No,Sí,Sí,71,269000
64,64,vivienda_65,2,2.0,No,No,Sí,134,223000
65,65,vivienda_66,4,3.0,No,No,No,240,378000
66,66,vivienda_67,4,2.0,No,Sí,Sí,194,314000
67,67,vivienda_68,4,2.0,Sí,No,Sí,137,348000
68,68,vivienda_69,2,,Sí,No,Sí,64,225000
69,69,vivienda_70,4,3.0,No,Sí,Sí,223,392000
70,70,vivienda_71,4,2.0,Sí,Sí,No,170,309000
71,71,vivienda_72,1,1.0,No,Sí,No,62,109000
72,72,vivienda_73,3,3.0,Sí,No,Sí,200,363000
73,73,vivienda_74,4,2.0,No,Sí,Sí,130,344000
74,74,vivienda_75,4,2.0,No,Sí,Sí,176,317000
75,75,vivienda_76,1,1.0,Sí,No,Sí,65,123000
76,76,vivienda_77,2,1.0,No,No,No,102,168000
77,77,vivienda_78,3,3.0,No,No,Sí,200,358000
78,78,vivienda_79,4,2.0,Sí,Sí,No,189,312000
79,79,vivienda_80,4,3.0,Sí,Sí,No,261,417000
80,80,vivienda_81,3,2.0,No,Sí,No,138,274000
81,81,vivienda_82,4,3.0,Sí,Sí,No,227,384000
82,82,vivienda_83,4,3.0,Sí,No,No,241,413000
83,83,vivienda_84,1,2.0,Sí,No,No,124,188000
84,84,vivienda_85,3,2.0,Sí,No,Sí,136,288000
85,85,vivienda_86,4,,Sí,No,Sí,261,420000
86,86,vivienda_87,2,3.0,No,Sí,No,220,289000
87,87,vivienda_88,4,2.0,No,Sí,Sí,187,317000
88,88,vivienda_89,4,2.0,No,No,No,177,303000
89,89,vivienda_90,2,2.0,Sí,No,No,149,248000
90,90,vivienda_91,3,1.0,No,No,No,67,198000
91,91,vivienda_92,2,2.0,No,Sí,Sí,127,227000
92,92,vivienda_93,1,2.0,Sí,No,Sí,126,198000
93,93,vivienda_94,2,2.0,Sí,No,Sí,124,228000
94,94,vivienda_95,2,2.0,Sí,No,Sí,146,258000
95,95,vivienda_96,3,3.0,No,No,No,213,348000
96,96,vivienda_97,3,2.0,Sí,Sí,No,120,282000
97,97,vivienda_98,4,2.0,Sí,No,Sí,123,345000
98,98,vivienda_99,2,1.0,No,Sí,Sí,99,179000
99,99,vivienda_100,4,3.0,No,Sí,Sí,242,422000
100,100,vivienda_101,3,1.0,No,Sí,No,59,202000
101,101,vivienda_102,1,1.0,No,No,No,64,108000
102,102,vivienda_103,4,2.0,Sí,Sí,Sí,138,352000
103,103,vivienda_104,2,2.0,Sí,No,Sí,138,255000
104,104,vivienda_105,2,2.0,No,Sí,No,143,244000
105,105,vivienda_106,4,1.0,No,Sí,Sí,68,269000
106,106,vivienda_107,4,3.0,Sí,No,No,259,413000
107,107,vivienda_108,2,3.0,Sí,Sí,Sí,225,334000
108,108,vivienda_109,4,1.0,Sí,Sí,No,132,234000
109,109,vivienda_110,2,,No,No,No,60,213000
110,110,vivienda_111,2,2.0,No,Sí,Sí,149,254000
111,111,vivienda_112,3,2.0,No,No,No,126,273000
112,112,vivienda_113,2,3.0,No,No,Sí,225,328000
113,113,vivienda_114,4,3.0,Sí,No,No,246,410000
114,114,vivienda_115,4,3.0,No,No,Sí,238,418000
115,115,vivienda_116,1,1.0,No,No,No,60,105000
116,116,vivienda_117,2,2.0,No,No,Sí,130,223000
117,117,vivienda_118,2,1.0,No,No,No,99,165000
118,118,vivienda_119,4,3.0,Sí,Sí,Sí,232,427000
119,119,vivienda_120,2,2.0,Sí,Sí,Sí,150,262000
120,120,vivienda_121,2,1.0,Sí,Sí,No,87,147000
121,121,vivienda_122,3,1.0,Sí,No,No,67,200000
122,122,vivienda_123,3,,Sí,No,Sí,66,213000
123,123,vivienda_124,1,3.0,No,Sí,Sí,220,272000
124,124,vivienda_125,2,3.0,Sí,No,No,237,290000
125,125,vivienda_126,4,2.0,Sí,No,Sí,189,315000
126,126,vivienda_127,1,3.0,No,No,No,229,255000
127,127,vivienda_128,4,,No,No,Sí,69,268000
128,128,vivienda_129,2,1.0,No,No,No,103,165000
129,129,vivienda_130,2,3.0,No,No,Sí,227,328000
130,130,vivienda_131,4,2.0,Sí,Sí,No,130,342000
131,131,vivienda_132,1,2.0,No,No,No,137,180000
132,132,vivienda_133,1,1.0,Sí,Sí,No,60,117000
133,133,vivienda_134,1,2.0,Sí,Sí,Sí,128,199000
134,134,vivienda_135,2,1.0,No,No,Sí,84,148000
135,135,vivienda_136,4,,No,Sí,No,181,307000
136,136,vivienda_137,4,1.0,Sí,Sí,Sí,68,277000
137,137,vivienda_138,3,1.0,No,No,Sí,63,205000
138,138,vivienda_139,2,2.0,Sí,No,No,134,218000
139,139,vivienda_140,2,2.0,No,No,Sí,128,223000
140,140,vivienda_141,4,2.0,No,No,Sí,135,340000
141,141,vivienda_142,1,3.0,No,Sí,No,232,262000
142,142,vivienda_143,4,1.0,Sí,No,Sí,75,270000
143,143,vivienda_144,2,,Sí,No,No,72,293000
144,144,vivienda_145,2,3.0,No,No,No,232,315000
145,145,vivienda_146,2,1.0,Sí,Sí,No,100,177000
146,146,vivienda_147,4,1.0,Sí,Sí,No,73,267000
147,147,vivienda_148,4,,No,Sí,No,173,304000
148,148,vivienda_149,2,2.0,No,No,Sí,143,253000
149,149,vivienda_150,4,3.0,Sí,Sí,No,234,417000
150,150,vivienda_151,4,2.0,No,No,Sí,129,343000
151,151,vivienda_152,4,2.0,No,No,Sí,135,343000
152,152,vivienda_153,4,3.0,No,No,No,232,405000
153,153,vivienda_154,2,2.0,No,No,No,125,210000
154,154,vivienda_155,3,3.0,Sí,Sí,Sí,206,364000
155,155,vivienda_156,4,2.0,Sí,Sí,No,190,312000
156,156,vivienda_157,4,1.0,No,No,Sí,76,268000
157,157,vivienda_158,2,2.0,Sí,Sí,Sí,136,232000
158,158,vivienda_159,2,3.0,No,Sí,No,231,319000
159,159,vivienda_160,2,1.0,Sí,Sí,No,76,147000
160,160,vivienda_161,1,,No,No,No,65,105000
161,161,vivienda_162,2,3.0,No,Sí,Sí,227,329000
162,162,vivienda_163,3,2.0,No,Sí,No,123,277000
163,163,vivienda_164,4,3.0,Sí,No,No,262,410000
164,164,vivienda_165,4,,Sí,No,Sí,86,345000
165,165,vivienda_166,4,1.0,No,No,No,74,258000
166,166,vivienda_167,3,3.0,No,No,Sí,202,358000
167,167,vivienda_168,4,1.0,Sí,No,Sí,129,243000
168,168,vivienda_169,3,1.0,No,Sí,No,64,199000
169,169,vivienda_170,1,3.0,No,Sí,No,236,259000
